site,mean_dnbr,burn_severity
M01,308.74755859375,Moderate_Low
M02,336.1661071777344,Moderate_Low
M03,310.2433776855469,Moderate_Low
NF01,344.7379150390625,Moderate_Low
SF01,295.4039611816406,Moderate_Low
