site,mean_dnbr,burn_severity
Oak_Creek_upstream,310.2433776855469,Moderate_Low
North Fork Oak Creek,344.7379150390625,Moderate_Low
Indian Creek,256.1205749511719,Low
Counterfeit Creek,320.44140625,Moderate_Low
unnamed_3,245.02035522460938,Low
Hoover Canyon,276.1117248535156,Moderate_Low
Pine Tree Canyon,279.8998718261719,Moderate_Low
unnamed_1,244.74868774414062,Low
unnamed_2,194.6695098876953,Low
Clint Canyon,207.20497131347656,Low
South Fork Oak Creek,295.4039611816406,Moderate_Low
