site,mean_dnbr,burn_severity
South Tieton_unnamed_1302,224.63096618652344,Low
South Tieton_unnamed_415,510.36041259765625,Moderate_High
Cabin Creek,521.1226806640625,Moderate_High
Sentinel Creek,626.6591796875,Moderate_High
