site,geometry,comid,id,fdate,resolution,gnis_id,gnis_name,lengthkm,reachcode,flowdir,wbareacomi,ftype,fcode,shape_length,streamleve,streamorde,streamcalc,fromnode,tonode,hydroseq,levelpathi,pathlength,terminalpa,arbolatesu,divergence,startflag,terminalfl,dnlevel,uplevelpat,uphydroseq,dnlevelpat,dnminorhyd,dndraincou,dnhydroseq,frommeas,tomeas,rtndiv,vpuin,vpuout,areasqkm,totdasqkm,divdasqkm,tidal,totma,wbareatype,pathtimema,hwnodesqkm,maxelevraw,minelevraw,maxelevsmo,minelevsmo,slope,elevfixed,hwtype,slopelenkm,qa_ma,va_ma,qc_ma,vc_ma,qe_ma,ve_ma,qa_01,va_01,qc_01,vc_01,qe_01,ve_01,qa_02,va_02,qc_02,vc_02,qe_02,ve_02,qa_03,va_03,qc_03,vc_03,qe_03,ve_03,qa_04,va_04,qc_04,vc_04,qe_04,ve_04,qa_05,va_05,qc_05,vc_05,qe_05,ve_05,qa_06,va_06,qc_06,vc_06,qe_06,ve_06,qa_07,va_07,qc_07,vc_07,qe_07,ve_07,qa_08,va_08,qc_08,vc_08,qe_08,ve_08,qa_09,va_09,qc_09,vc_09,qe_09,ve_09,qa_10,va_10,qc_10,vc_10,qe_10,ve_10,qa_11,va_11,qc_11,vc_11,qe_11,ve_11,qa_12,va_12,qc_12,vc_12,qe_12,ve_12,lakefract,surfarea,rareahload,rpuid,vpuid,enabled,huc2,huc4,huc6,huc8,huc10,huc12
S10,"c(-121.0675, 46.8095)",24423157,nhdflowline_network.2372451,2001-02-06 21:00:00,Medium,1524887,Rattlesnake Creek,2.771,17030002000268,With Digitized,0,StreamRiver,46006,0.0320397858686442,5,4,4,50127936,50127927,50030701,50025383,781.249,50001315,137.205,0,0,0,5,50025383,50031585,50025383,0,1,50029890,0,100,0,0,0,8.0271,175.6188,175.6188,0,0.0628767215257, ,7.36591633167,NA,-9998,81049,86015,81317,0.01695416,0, ,2.771,214.981,1.67349,214.948,1.67347,214.948,1.67347,71.492,1.06919,178.668,1.54584,178.668,1.54584,65.288,1.03339,186.271,1.57353,186.271,1.57353,118.713,1.3043,203.101,1.63299,203.101,1.63299,185.698,1.57137,207.565,1.64837,207.565,1.64837,261.012,1.82163,276.839,1.86978,276.839,1.86978,322.401,2.00124,335.151,2.03658,335.151,2.03658,337.312,2.04237,243.119,1.76573,243.119,1.76573,328.241,2.01745,180.795,1.55364,180.795,1.55364,279.933,1.87892,193.243,1.59845,193.243,1.59845,260.409,1.81977,216.449,1.67853,216.449,1.67853,226.52,1.71192,242.598,1.76407,242.598,1.76407,124.394,1.32933,214.478,1.67189,214.478,1.67189,NA,NA,NA,17b,17,1,HUC-17,HUC-1703,HUC-170300,HUC-17030002,HUC-1703000202,HUC-170300020206
S11,"c(-121.246539, 46.900595)",24423001,nhdflowline_network.2372385,2001-02-06 21:00:00,Medium,1517093,Bumping River,0.728,17030002000205,With Digitized,0,StreamRiver,46006,0.00900123131148538,4,5,5,50127862,50127861,50023961,50008048,815.192,50001315,186.956,0,0,0,4,50008048,50024415,50008048,0,1,50023525,0,100,0,0,0,3.0852,220.1148,220.1148,0,0.0158365448092, ,8.10116654917,NA,-9998,96435,97664,96481,0.01625,0, ,0.728,289.185,1.74472,291.353,1.74559,291.353,1.74559,89.861,1.08057,212.578,1.52408,212.578,1.52408,85.997,1.06276,225.754,1.56353,225.754,1.56353,163.038,1.36788,261.85,1.66638,261.85,1.66638,247.545,1.63091,274.782,1.70159,274.782,1.70159,347.093,1.8909,377.211,1.95685,377.211,1.95685,435.445,2.09341,465.977,2.15261,465.977,2.15261,474.977,2.17771,344.87,1.88022,344.87,1.88022,438.835,2.10078,235.295,1.59142,235.295,1.59142,365.14,1.93408,240.819,1.60733,240.819,1.60733,342.051,1.87866,272.773,1.69617,272.773,1.69617,316.147,1.81434,335.398,1.85715,335.398,1.85715,165.977,1.37798,275.636,1.70389,275.636,1.70389,NA,NA,NA,17b,17,1,HUC-17,HUC-1703,HUC-170300,HUC-17030002,HUC-1703000201,HUC-170300020108
