site,latitude,longitude,comid
Oak_Creek,46.72364,-120.81688,24423655
S01,46.976,-121.1579,-9999
North_Fork_Cowiche_Creek,46.65293,-120.69212,-9999
Toppenish Creek,46.31099,-120.78821,-9999
